Label;Part Type;mn;mpn;part number;
A1;Esp32-c3 super mini;;;;
A2;ZS-042 Real Time Clock Module;;;DS;
A3;USB power module;;;;
Adafruit Sunken USB Type C Breakout1;Adafruit Sunken USB Type C Breakout;Adafruit;#6050;#6050;
Adafruit Sunken USB Type C Breakout2;Adafruit Sunken USB Type C Breakout;Adafruit;#6050;#6050;
C1;Electrolytic Capacitor;;;;
C2;Ceramic Capacitor;;;;
INA1;INA219 DC Current Sensor Breakout;;;;
J2;Screw terminal - 2 pins;;;;
J3;Screw terminal - 2 pins;;;;
Part1;USB Type A Female Breakout Board ;;;BOB-12700;
S1;0.91 inch OLED I2C Display 128 x 32 Pixels;;;;

Amount;Part Type;mn;mpn;part number;
1;0.91 inch OLED I2C Display 128 x 32 Pixels;;;;
2;Adafruit Sunken USB Type C Breakout;Adafruit;#6050;#6050;
1;Ceramic Capacitor;;;;
1;Electrolytic Capacitor;;;;
1;Esp32-c3 super mini;;;;
1;INA219 DC Current Sensor Breakout;;;;
2;Screw terminal - 2 pins;;;;
1;USB Type A Female Breakout Board ;;;BOB-12700;
1;USB power module;;;;
1;ZS-042 Real Time Clock Module;;;DS;
